site_i,site_j,count_unique,count_weighted,mean_energy_eV,weighted_mean_energy_eV,delta_from_global_mean_eV,delta_from_weighted_global_mean_eV,distance_ang,shell_index,shell_distance_ang
10,19,43,340,-3061.387778366047,-3061.38888812847,-0.02664324820443653,-0.024243482771453273,4.480761459692719,42,4.480288056512309
12,18,34,268,-3061.390048456765,-3061.3880627280596,-0.02891333892239345,-0.023418082360876724,4.498072086126047,48,4.498160304763271
7,10,31,232,-3061.3829489367745,-3061.386502952931,-0.021813818932059803,-0.021858307232378138,5.068018231936066,81,5.068018231936066
6,12,20,152,-3061.3853049325,-3061.3850327268424,-0.024169814657398092,-0.02038808114366475,6.832871531793486,157,6.832871531793486
1,18,126,964,-3061.3838038195236,-3061.3848693227383,-0.0226687016811411,-0.020224677039550443,5.549449713188067,115,5.549449713188067
2,6,2,6,-3061.3588897150003,-3061.3843468399996,0.0022454028421634575,-0.019702194300862175,8.789782356029148,226,8.789782356029148
8,24,10,72,-3061.367588763,-3061.3842622577777,-0.006453645157762367,-0.019617612078945967,4.676192284006986,66,4.676192284006986
14,23,12,92,-3061.389499359167,-3061.383832116957,-0.02836424132465254,-0.01918747125819209,4.4960775114671785,47,4.4960775114671785
10,17,44,348,-3061.3832461818183,-3061.38217383184,-0.022111063975899015,-0.017529186141473474,6.652790183729025,149,6.652790183729025
5,12,92,720,-3061.3833378597824,-3061.3817421884437,-0.022202741939963744,-0.017097542744977545,5.133272139084394,89,5.133272139084394
8,23,8,56,-3061.35043459,-3061.38163907,0.010700527842345764,-0.01699442430117415,7.355788067626498,183,7.355788067626498
6,13,5,32,-3061.3649723119997,-3061.38044467,-0.0038371941573132062,-0.015800024301370286,5.0177928296206655,77,5.0177928296206655
1,24,82,628,-3061.3745203434146,-3061.380323413566,-0.013385225572164927,-0.015678767867484567,5.518175524908087,112,5.518175524908087
2,9,18,132,-3061.3584765433334,-3061.379739778788,0.0026585745090415003,-0.015095133089289448,5.634101838317524,127,5.634101838317524
18,20,36,270,-3061.381200301111,-3061.3780030345188,-0.020065183268798137,-0.013358388820051914,5.39655088892548,97,5.39655088892548
6,11,31,232,-3061.377152945484,-3061.3769292594825,-0.016017827641462645,-0.012284613783776877,5.096910866197251,82,5.096910866197251
18,19,40,302,-3061.3831286560003,-3061.3768573484767,-0.021993538157857984,-0.012212702778015228,9.10096192883326,236,9.10096192883326
18,22,35,262,-3061.3757447885714,-3061.375310229466,-0.014609670728987112,-0.010665583767149656,6.129665298386306,141,6.129665298386306
7,22,12,88,-3061.3675424941666,-3061.37382311,-0.006407376324204961,-0.009178464301385247,5.341804260491819,95,5.341804260491819
5,11,111,864,-3061.374411508919,-3061.3736422651386,-0.013276391076487926,-0.008997619439924165,6.923548404980591,163,6.923548404980591
6,10,21,160,-3061.3708548809527,-3061.37337165525,-0.009719763110297208,-0.00872700955142136,7.4235571107277,186,7.423144716561074
2,5,12,78,-3061.3718028508333,-3061.3728293015383,-0.010667732990896184,-0.008184655839613697,3.2332019764341027,26,3.2327156489098057
13,23,10,76,-3061.37650971,-3061.3721099194736,-0.015374592157513689,-0.007465273774869274,4.487646737275363,44,4.487646737275363
20,24,20,150,-3061.368410677,-3061.370005714,-0.007275559157733369,-0.005361068301226624,6.140619645523458,143,6.140619645523458
21,24,22,166,-3061.3691737304543,-3061.3696780244577,-0.00803861261192651,-0.005033378758980689,9.061029114527258,233,9.061029114527258
14,24,11,84,-3061.372840852727,-3061.368574430953,-0.011705734884799313,-0.003929785254058515,4.516725621318417,52,4.516725621318417
18,21,37,278,-3061.3718935902702,-3061.3669620411515,-0.010758472427824017,-0.0023173954527919705,8.245649651419134,212,8.245649651419134
12,16,5,34,-3061.36423113,-3061.366623247059,-0.0030960121575844823,-0.0019786013604061736,7.612185678162867,192,7.612185678162867
8,9,33,248,-3061.3664349221212,-3061.3658702072576,-0.005299804278820375,-0.001225561558840127,5.111562530640737,86,5.111536385685342
12,17,35,276,-3061.3677297897143,-3061.3648239136237,-0.006594671871880564,-0.00017926792497746646,4.4835942351034,43,4.4835942351034
9,21,89,684,-3061.362375263258,-3061.361158158948,-0.00124014541552242,0.003486486750716722,5.481202793034555,106,5.481202793034555
10,23,39,308,-3061.360772756667,-3061.359936167143,0.00036236117557564285,0.004708478555585316,6.120519382248873,140,6.120519382248873
13,18,15,116,-3061.3598797980003,-3061.359506132413,0.0012553198421301204,0.0051385132856012206,3.2611308524292353,34,3.2615280265291524
3,6,11,74,-3061.352242252727,-3061.3592584891894,0.008892865115285531,0.005386156509302964,4.925627612675352,75,4.925627612675352
5,8,50,323,-3061.3526041698,-3061.358131345665,0.008530948042334785,0.006513300033930136,8.82646385112808,229,8.82646385112808
