r_lower_ang,r_upper_ang,r_center_ang,pairs_in_bin,weighted_pair_occurrences,weighted_pair_fraction,weighted_configs_with_bin,presence_delta_eV,slope_eV_per_pair,weighted_corr
7.4,7.5,7.45,7,568.0,0.008908965430704562,556,-0.0544311424305306,-0.0533692150560252,-0.08342654966137181
7.5,7.6,7.55,2,864.0,0.01355166572557877,862,-0.04969260566849698,-0.053924319167624045,-0.10046220533085189
7.6,7.699999999999999,7.6499999999999995,1,34.0,0.0005332831419787941,34,-0.0019786013604061736,-0.0019849526130438833,-0.0007622173182414481
7.700000000000001,7.800000000000001,7.750000000000001,1,4.0,6.273919317397578e-05,4,0.24955789569867193,0.24965187343904735,0.03292821569353722
7.800000000000001,7.9,7.8500000000000005,2,38.0,0.0005960223351527699,38,0.09418807043539346,0.09452610846472484,0.03836637503224877
7.9,8.0,7.95,7,3396.0,0.05326557500470544,2916,-0.06886595117339311,-0.06658762509985476,-0.2524123681057483
8.0,8.1,8.05,4,120.0,0.0018821757952192735,120,-0.13834590130181823,-0.13992609435103848,-0.10053291092032073
8.1,8.2,8.149999999999999,3,164.0,0.002572306920133007,160,-0.12310600330147281,-0.11658184891725,-0.10010620781491729
8.200000000000001,8.3,8.25,6,1072.0,0.016814103770625508,1066,0.005481282491928141,0.00684967563452766,0.014113900263348732
8.3,8.4,8.350000000000001,2,776.0,0.012171403475751302,774,-0.04736134923723512,-0.051383692677297796,-0.09115461561777886
8.4,8.5,8.45,0,0.0,0.0,0,nan,nan,nan
8.5,8.6,8.55,1,12.0,0.00018821757952192734,12,0.1898206156984088,0.19003522351516733,0.04339747832668187
8.6,8.7,8.649999999999999,2,568.0,0.008908965430704562,568,-0.05909753310425003,-0.06243491616511801,-0.09548996642898823
8.700000000000001,8.8,8.75,7,2184.0,0.034255599472990776,2150,-0.011170500310981879,-0.013838838252393211,-0.0387611301596038
8.8,8.9,8.850000000000001,2,462.0,0.007246376811594203,461,0.027312630882988742,0.028845499270324183,0.04008779264977677
8.9,9.0,8.95,2,387.0,0.006070016939582157,387,-0.13124961781477396,-0.13621041497529124,-0.17349812843311044
9.0,9.1,9.05,4,587.0,0.009206976598280946,585,-0.012948267361480248,-0.013145386480547194,-0.02049266637832709
