shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
33,3.2549270758793485,1,10,-0.05184375030148658,-0.05189258578816477,-0.01081897185877236
34,3.2615280265291524,3,1214,0.043388393426084804,0.04941995449024403,0.10799000774576555
35,3.2628129033450604,1,1,-0.18234667430124318,-0.18236383634348588,-0.012028276790924938
36,3.272820880311473,1,461,-0.06609631156834439,-0.06909389146553628,-0.09570707243655507
37,4.4303963015315935,1,118,0.07230545485117545,0.07311741180287747,0.052098122177121925
38,4.439257372534622,1,386,0.1103865074605892,0.11454756135247463,0.14572353659222093
39,4.446317361193818,1,254,0.06698659247058458,0.06862702772518527,0.07127603400811698
40,4.459945712114218,1,166,0.01246692907261604,0.012664778995868316,0.010678683777783788
41,4.477178838624369,1,34,-0.11074136194838502,-0.11109683837678716,-0.042660934904034505
42,4.480288056512309,2,1004,0.008692537529896072,0.009791713683819312,0.01959418895533459
43,4.4835942351034,1,276,-0.00017926792497746646,-0.00018404840481887717,-0.0001990476240134887
44,4.487646737275363,1,76,-0.007465273774869274,-0.007519052052849269,-0.004308204813104466
45,4.489991112909378,1,234,-0.09575529045423536,-0.09791144307166391,-0.09769923732526921
46,4.492369567715944,2,392,-0.05406017746327052,-0.056130881938923904,-0.07193956875215404
47,4.4960775114671785,1,92,-0.01918747125819209,-0.019355047428395188,-0.012192283003175632
48,4.498160304763271,2,576,-0.029841242356269504,-0.031551546398841224,-0.04857526141671387
49,4.506280765326229,2,698,0.028457114638513303,0.030457826362277292,0.0513047677884594
50,4.50814572333647,1,732,0.059574736354079505,0.06398232751947354,0.11017974233422519
51,4.512346477336046,1,316,0.016796551775314583,0.017311363640439514,0.01999421590253689
52,4.516725621318417,1,84,-0.003929785254058515,-0.003961098285883239,-0.0023851571131872024
53,4.523410460023225,1,28,0.1550782885560693,0.1554880066210138,0.05419860311230404
54,4.531259611706758,1,36,0.1684389890319835,0.16901158615967327,0.06677531298309683
55,4.555146636301855,1,36,0.18751683569871602,0.1881542866959423,0.07433846204699252
56,4.593988884555815,1,8,0.2954388106991246,0.2956614053929134,0.0551392957864631
57,4.603932412776801,1,2,0.3919450656985646,0.3920188505354311,0.03656505272706706
58,4.612766436359702,1,656,0.05410249039323389,0.05766229316954857,0.0943608040668563
59,4.622934595950814,1,136,0.024143140404248697,0.02445614965820519,0.018691558138329036
60,4.6248625153226035,1,136,-0.028027361947351892,-0.02839072908366115,-0.021698712621296024
61,4.62913502339082,1,520,0.05092350554468794,0.05354375320555084,0.07854171015015325
62,4.631327456717077,1,192,0.08106514736573445,0.08255685795287945,0.07477034946975113
63,4.639227714618719,1,88,0.05186586615309352,0.05229898403108392,0.03222655704478498
64,4.650707470550052,1,56,0.09241369926985499,0.09290330827054998,0.045736498295293145
65,4.65766750080289,1,184,0.11927486678632704,0.12137662655046406,0.1076554555595825
66,4.676192284006986,1,72,-0.019617612078945967,-0.019751444568524967,-0.011017267180621813
67,4.687796569063402,1,1024,0.017788079409911006,0.01968507933581026,0.03949737404635685
68,4.716134402561724,1,272,0.10528387158046826,0.10804968315588816,0.11602785252990641
69,4.7276098961366015,1,32,-0.12605189180112575,-0.12643264133519933,-0.047104718058386896
70,4.737097365389586,1,144,-0.09571092096803113,-0.09702578193378043,-0.07627648989739691
71,4.74348469345941,1,136,-0.1189140754777327,-0.12045576416127429,-0.09206297599515692
72,4.759257867619514,1,40,-0.06609601430136536,-0.06634576308245188,-0.027625449819909175
73,4.89077994343774,1,74,-0.17700523268013058,-0.1782465506519166,-0.10078702121752142
74,4.90033445680548,1,74,-0.16886602321983446,-0.17005026182359143,-0.09615254423592459
75,4.925627612675352,1,74,0.005386156509302964,0.005423929022511959,0.0030668848708426052
76,5.014645358889849,1,702,-0.04752561717850767,-0.05088746555486584,-0.0859454677515838
77,5.0177928296206655,1,32,-0.015800024301370286,-0.01584774950434924,-0.005904359541798817
78,5.050775668727013,1,8,0.14766804069859063,0.14777929934438658,0.02756006143865036
79,5.052325335734786,1,76,-0.1704733800906979,-0.1717014347743413,-0.09838008069533824
80,5.060749457272682,1,60,-0.07770110563478738,-0.07814233849118353,-0.03981232644253235
81,5.068018231936066,1,232,-0.021858307232378138,-0.022346197101703946,-0.022204407961850366
82,5.096910866197251,1,232,-0.012284613783776877,-0.012558813362895865,-0.012479126276265323
83,5.098497140402175,1,868,-0.05969815448634108,-0.06500846378240016,-0.12106271157684494
84,5.105721677953852,1,28,-0.18483650572989063,-0.1853248452452316,-0.06459885847515912
85,5.109192470792499,1,28,-0.059493857158940955,-0.05965104040302813,-0.02079262017886595
86,5.111536385685342,2,948,-0.044940829110146296,-0.04557655285515765,-0.08948312842239368
87,5.129514721118093,1,352,-0.026116025551345956,-0.027010793024395092,-0.03286840818611995
88,5.131593517935377,1,20,-0.15825070030132338,-0.15854911761525137,-0.04672559741893905
89,5.133272139084394,1,720,-0.017097542744977545,-0.018340247248171827,-0.03134157523839625
90,5.180143848831508,1,24,0.04884017403173857,0.04895073469525965,0.01580006812553113
91,5.191544573854641,1,60,-0.1529232336347377,-0.15379162224363843,-0.07835447962158391
92,5.281903466139796,1,128,-0.03026008148890469,-0.030629036571239616,-0.022719136962161195
93,5.307962872251924,1,120,-0.04489736730147342,-0.045410187032938414,-0.03262592520023139
94,5.333361443182534,1,80,-0.052318047802145884,-0.052714922810657115,-0.030982943580700393
95,5.341804260491819,1,88,-0.009178464301385247,-0.009255111187127416,-0.005702985902183455
