 Configuration with minimum energy:          104
 Configuration with maximum energy:           18

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        24         1  0.402530E+00      0.0003      0.0003
        25         4  0.576426E+00      0.0002      0.0000
        26         4  0.590065E+00      0.0002      0.0000
        27         4  0.345216E+00      0.0026      0.0007
        28         4  0.661692E+00      0.0001      0.0000
        29         4  0.500152E+00      0.0004      0.0001
        30         4  0.413146E+00      0.0012      0.0003
        31         4  0.295078E+00      0.0047      0.0012
        32         4  0.262329E+00      0.0069      0.0017
        33         4  0.430092E+00      0.0010      0.0002
        34         4  0.206188E+00      0.0132      0.0033
        35         4  0.591764E+00      0.0002      0.0000
        36         4  0.315069E+00      0.0037      0.0009
        37         4  0.429473E+00      0.0010      0.0002
        38         4  0.430952E+00      0.0010      0.0002
        39         4  0.771260E+00      0.0000      0.0000
        40         4  0.476378E+00      0.0006      0.0001
        41         4  0.360618E+00      0.0022      0.0006
        42         4  0.365465E+00      0.0021      0.0005
        43         4  0.287392E+00      0.0052      0.0013
        44         4  0.336737E+00      0.0029      0.0007
        45         4  0.491324E+00      0.0005      0.0001
        46         4  0.137363E+00      0.0294      0.0074
        47         4  0.122514E+00      0.0349      0.0087
        48         4  0.207060E+00      0.0131      0.0033
        49         4  0.707077E+00      0.0000      0.0000
        50         4  0.245710E+00      0.0084      0.0021
        51         4  0.340956E-01      0.0975      0.0244
        52         4  0.102580E+00      0.0440      0.0110
        53         4  0.149203E+00      0.0256      0.0064
        54         4  0.145486E+00      0.0268      0.0067
        55         4  0.283184E+00      0.0054      0.0014
        56         4  0.470402E+00      0.0006      0.0002
        57         4  0.260907E+00      0.0070      0.0018
        58         4  0.816804E+00      0.0000      0.0000
        59         4  0.226984E+00      0.0104      0.0026
        60         4  0.533013E+00      0.0003      0.0001
        61         4  0.506448E+00      0.0004      0.0001
        62         4  0.554409E+00      0.0002      0.0001
        63         4  0.262715E+00      0.0069      0.0017
        64         4  0.489625E+00      0.0005      0.0001
        65         4  0.496621E+00      0.0005      0.0001
        66         4  0.408433E+00      0.0013      0.0003
        67         4  0.579666E+00      0.0002      0.0000
        68         4  0.620441E+00      0.0001      0.0000
        69         4  0.296904E+00      0.0046      0.0012
        70         4  0.173544E+00      0.0193      0.0048
        71         4  0.403724E+00      0.0013      0.0003
        72         4  0.422531E+00      0.0011      0.0003
        73         4  0.341036E+00      0.0028      0.0007
        74         4  0.263430E+00      0.0068      0.0017
        75         4  0.111998E+00      0.0395      0.0099
        76         4  0.369544E+00      0.0020      0.0005
        77         4  0.345887E+00      0.0026      0.0007
        78         4  0.124290E+00      0.0342      0.0086
        79         4  0.174144E+00      0.0192      0.0048
        80         4  0.310063E+00      0.0040      0.0010
        81         2  0.635950E+00      0.0000      0.0000
        82         4  0.474602E+00      0.0006      0.0001
        83         4  0.390152E+00      0.0016      0.0004
        84         2  0.228873E+00      0.0051      0.0025
        85         4  0.480205E+00      0.0006      0.0001
        86         4  0.428045E+00      0.0010      0.0003
        87         4  0.420625E+00      0.0011      0.0003
        88         4  0.197823E+00      0.0146      0.0036
        89         2  0.385474E+00      0.0008      0.0004
        90         4  0.304911E+00      0.0042      0.0011
        91         4  0.377865E+00      0.0018      0.0005
        92         4  0.258776E+00      0.0072      0.0018
        93         4  0.336303E+00      0.0029      0.0007
        94         4  0.225257E+00      0.0106      0.0027
        95         4  0.454242E+00      0.0007      0.0002
        96         2  0.178604E+00      0.0091      0.0046
        97         2  0.600639E+00      0.0001      0.0000
        98         4  0.295531E+00      0.0047      0.0012
        99         4  0.165863E+00      0.0211      0.0053
       100         2  0.111451E+00      0.0199      0.0099
       101         4  0.232436E+00      0.0098      0.0024
       102         4  0.222886E+00      0.0109      0.0027
       103         4  0.210584E+00      0.0126      0.0031
       104         4  0.000000E+00      0.1448      0.0362
       105         4  0.424098E+00      0.0011      0.0003
       106         4  0.383607E+00      0.0017      0.0004
       107         4  0.203855E+00      0.0136      0.0034
       108         4  0.403308E+00      0.0013      0.0003
       109         4  0.330200E+00      0.0031      0.0008
       110         2  0.675477E-02      0.0669      0.0335
       111         4  0.271253E+00      0.0062      0.0016
       112         2  0.951899E-01      0.0240      0.0120
       113         2  0.823812E+00      0.0000      0.0000
       114         2  0.837371E+00      0.0000      0.0000
       115         2  0.382414E+00      0.0009      0.0004
       116         2  0.668459E+00      0.0000      0.0000
       117         2  0.417869E+00      0.0006      0.0003
       118         2  0.324691E+00      0.0017      0.0008
       119         4  0.778985E+00      0.0000      0.0000
       120         4  0.452976E+00      0.0008      0.0002
       121         4  0.596462E+00      0.0001      0.0000
       122         4  0.354313E+00      0.0024      0.0006
       123         4  0.733929E+00      0.0000      0.0000
       124         4  0.436229E+00      0.0009      0.0002
       125         4  0.460881E+00      0.0007      0.0002
       126         4  0.563842E+00      0.0002      0.0001
       127         4  0.462575E+00      0.0007      0.0002
       128         4  0.202768E+00      0.0138      0.0034
       129         2  0.701656E+00      0.0000      0.0000
       130         2  0.591688E+00      0.0001      0.0000
       131         4  0.668547E+00      0.0001      0.0000
       132         4  0.531855E+00      0.0003      0.0001
       133         4  0.436511E+00      0.0009      0.0002
       134         4  0.258291E+00      0.0072      0.0018
       135         4  0.352775E+00      0.0024      0.0006
       136         4  0.353894E+00      0.0024      0.0006
       137         4  0.413617E+00      0.0012      0.0003
       138         4  0.350925E+00      0.0025      0.0006
       139         1  0.437157E+00      0.0002      0.0002


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.657241E+00      0.0020      0.0020
         2         4  0.676104E+00      0.0081      0.0020
         3         4  0.511474E+00      0.0081      0.0020
         4         4  0.549513E+00      0.0081      0.0020
         5         4  0.626745E+00      0.0081      0.0020
         6         2  0.380670E+00      0.0040      0.0020
         7         4  0.449658E+00      0.0081      0.0020
         8         4  0.371996E+00      0.0081      0.0020
         9         2  0.570011E+00      0.0040      0.0020
        10         2  0.428411E+00      0.0040      0.0020
        11         4  0.320222E+00      0.0081      0.0020
        12         4  0.231652E+00      0.0081      0.0020
        13         2  0.411601E+00      0.0040      0.0020
        14         2  0.516632E+00      0.0040      0.0020
        15         2  0.364521E+00      0.0040      0.0020
        16         2  0.385124E+00      0.0040      0.0020
        17         2  0.721380E+00      0.0040      0.0020
        18         2  0.860473E+00      0.0040      0.0020
        19         2  0.695285E+00      0.0040      0.0020
        20         4  0.147576E+00      0.0081      0.0020
        21         4  0.259659E+00      0.0081      0.0020
        22         4  0.428608E+00      0.0081      0.0020
        23         4  0.723422E+00      0.0081      0.0020
        24         1  0.402530E+00      0.0020      0.0020
        25         4  0.576426E+00      0.0081      0.0020
        26         4  0.590065E+00      0.0081      0.0020
        27         4  0.345216E+00      0.0081      0.0020
        28         4  0.661692E+00      0.0081      0.0020
        29         4  0.500152E+00      0.0081      0.0020
        30         4  0.413146E+00      0.0081      0.0020
        31         4  0.295078E+00      0.0081      0.0020
        32         4  0.262329E+00      0.0081      0.0020
        33         4  0.430092E+00      0.0081      0.0020
        34         4  0.206188E+00      0.0081      0.0020
        35         4  0.591764E+00      0.0081      0.0020
        36         4  0.315069E+00      0.0081      0.0020
        37         4  0.429473E+00      0.0081      0.0020
        38         4  0.430952E+00      0.0081      0.0020
        39         4  0.771260E+00      0.0081      0.0020
        40         4  0.476378E+00      0.0081      0.0020
        41         4  0.360618E+00      0.0081      0.0020
        42         4  0.365465E+00      0.0081      0.0020
        43         4  0.287392E+00      0.0081      0.0020
        44         4  0.336737E+00      0.0081      0.0020
        45         4  0.491324E+00      0.0081      0.0020
        46         4  0.137363E+00      0.0081      0.0020
        47         4  0.122514E+00      0.0081      0.0020
        48         4  0.207060E+00      0.0081      0.0020
        49         4  0.707077E+00      0.0081      0.0020
        50         4  0.245710E+00      0.0081      0.0020
        51         4  0.340956E-01      0.0081      0.0020
        52         4  0.102580E+00      0.0081      0.0020
        53         4  0.149203E+00      0.0081      0.0020
        54         4  0.145486E+00      0.0081      0.0020
        55         4  0.283184E+00      0.0081      0.0020
        56         4  0.470402E+00      0.0081      0.0020
        57         4  0.260907E+00      0.0081      0.0020
        58         4  0.816804E+00      0.0081      0.0020
        59         4  0.226984E+00      0.0081      0.0020
        60         4  0.533013E+00      0.0081      0.0020
        61         4  0.506448E+00      0.0081      0.0020
        62         4  0.554409E+00      0.0081      0.0020
        63         4  0.262715E+00      0.0081      0.0020
        64         4  0.489625E+00      0.0081      0.0020
        65         4  0.496621E+00      0.0081      0.0020
        66         4  0.408433E+00      0.0081      0.0020
        67         4  0.579666E+00      0.0081      0.0020
        68         4  0.620441E+00      0.0081      0.0020
        69         4  0.296904E+00      0.0081      0.0020
        70         4  0.173544E+00      0.0081      0.0020
        71         4  0.403724E+00      0.0081      0.0020
        72         4  0.422531E+00      0.0081      0.0020
        73         4  0.341036E+00      0.0081      0.0020
        74         4  0.263430E+00      0.0081      0.0020
        75         4  0.111998E+00      0.0081      0.0020
        76         4  0.369544E+00      0.0081      0.0020
        77         4  0.345887E+00      0.0081      0.0020
        78         4  0.124290E+00      0.0081      0.0020
        79         4  0.174144E+00      0.0081      0.0020
        80         4  0.310063E+00      0.0081      0.0020
        81         2  0.635950E+00      0.0040      0.0020
        82         4  0.474602E+00      0.0081      0.0020
        83         4  0.390152E+00      0.0081      0.0020
        84         2  0.228873E+00      0.0040      0.0020
        85         4  0.480205E+00      0.0081      0.0020
        86         4  0.428045E+00      0.0081      0.0020
        87         4  0.420625E+00      0.0081      0.0020
        88         4  0.197823E+00      0.0081      0.0020
        89         2  0.385474E+00      0.0040      0.0020
        90         4  0.304911E+00      0.0081      0.0020
        91         4  0.377865E+00      0.0081      0.0020
        92         4  0.258776E+00      0.0081      0.0020
        93         4  0.336303E+00      0.0081      0.0020
        94         4  0.225257E+00      0.0081      0.0020
        95         4  0.454242E+00      0.0081      0.0020
        96         2  0.178604E+00      0.0040      0.0020
        97         2  0.600639E+00      0.0040      0.0020
        98         4  0.295531E+00      0.0081      0.0020
        99         4  0.165863E+00      0.0081      0.0020
       100         2  0.111451E+00      0.0040      0.0020
       101         4  0.232436E+00      0.0081      0.0020
       102         4  0.222886E+00      0.0081      0.0020
       103         4  0.210584E+00      0.0081      0.0020
       104         4  0.000000E+00      0.0081      0.0020
       105         4  0.424098E+00      0.0081      0.0020
       106         4  0.383607E+00      0.0081      0.0020
       107         4  0.203855E+00      0.0081      0.0020
       108         4  0.403308E+00      0.0081      0.0020
       109         4  0.330200E+00      0.0081      0.0020
       110         2  0.675477E-02      0.0040      0.0020
       111         4  0.271253E+00      0.0081      0.0020
       112         2  0.951899E-01      0.0040      0.0020
       113         2  0.823812E+00      0.0040      0.0020
       114         2  0.837371E+00      0.0040      0.0020
       115         2  0.382414E+00      0.0040      0.0020
       116         2  0.668459E+00      0.0040      0.0020
       117         2  0.417869E+00      0.0040      0.0020
       118         2  0.324691E+00      0.0040      0.0020
       119         4  0.778985E+00      0.0081      0.0020
       120         4  0.452976E+00      0.0081      0.0020
       121         4  0.596462E+00      0.0081      0.0020
       122         4  0.354313E+00      0.0081      0.0020
       123         4  0.733929E+00      0.0081      0.0020
       124         4  0.436229E+00      0.0081      0.0020
       125         4  0.460881E+00      0.0081      0.0020
       126         4  0.563842E+00      0.0081      0.0020
       127         4  0.462575E+00      0.0081      0.0020
       128         4  0.202768E+00      0.0081      0.0020
       129         2  0.701656E+00      0.0040      0.0020
       130         2  0.591688E+00      0.0040      0.0020
       131         4  0.668547E+00      0.0081      0.0020
       132         4  0.531855E+00      0.0081      0.0020
       133         4  0.436511E+00      0.0081      0.0020
       134         4  0.258291E+00      0.0081      0.0020
       135         4  0.352775E+00      0.0081      0.0020
       136         4  0.353894E+00      0.0081      0.0020
       137         4  0.413617E+00      0.0081      0.0020
       138         4  0.350925E+00      0.0081      0.0020
       139         1  0.437157E+00      0.0020      0.0020
