#step;attempt;energy_eV;energy_low_eV;energy_high_eV
172;2598;  -2984.9748334700;  -2981.2475633301;  -2984.9748334700
173;2604;  -2984.8878121500;  -2980.7348903300;  -2984.8878121500
174;2606;  -2984.9504274000;  -2980.4605493700;  -2984.9504274000
175;2607;  -2984.9481044000;  -2980.5383101300;  -2984.9481044000
176;2616;  -2984.7447675100;  -2981.2240223801;  -2984.7447675100
177;2619;  -2984.7929258800;  -2980.7191560001;  -2984.7929258800
178;2625;  -2984.6669480400;  -2981.4056390901;  -2984.6669480400
179;2627;  -2984.6622700100;  -2981.8901138901;  -2984.6622700100
180;2632;  -2984.7446497200;  -2980.7185978201;  -2984.7446497200
181;2638;  -2984.7329199300;  -2980.1736184800;  -2984.7329199300
182;2642;  -2984.7260153500;  -2980.6321228300;  -2984.7260153500
183;2643;  -2984.7428799900;  -2980.4200908700;  -2984.7428799900
184;2647;  -2984.9488322400;  -2980.4513591400;  -2984.9488322400
185;2651;  -2984.8823008800;  -2980.3437330700;  -2984.8823008800
186;2657;  -2984.8201478900;  -2980.5037891100;  -2984.8201478900
187;2661;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
188;2669;  -2985.1270922000;  -2981.0716693400;  -2985.1270922000
189;2685;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
190;2686;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
191;2687;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
192;2729;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
193;2735;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
194;2761;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
195;2771;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
196;2773;  -2985.0542505900;  -2981.1121831700;  -2985.0542505900
197;2776;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
198;2782;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
199;2783;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
200;2809;  -2985.0542505900;  -2981.1121831700;  -2985.0542505900
201;2814;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
202;2830;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
203;2842;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
204;2853;  -2985.1270922000;  -2981.0716693400;  -2985.1270922000
205;2876;  -2984.9932901500;  -2981.2674961601;  -2984.9932901500
206;2911;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
207;2929;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
208;2947;  -2984.9714158400;  -2980.6424318901;  -2984.9714158400
209;2954;  -2984.9477901800;  -2981.0490770001;  -2984.9477901800
210;2968;  -2985.0582466500;  -2980.3723852100;  -2985.0582466500
211;2973;  -2985.1270922000;  -2981.0716693400;  -2985.1270922000
212;2980;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
213;3004;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
214;3015;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
215;3032;  -2984.8440732700;  -2978.7691886900;  -2984.8440732700
216;3033;  -2984.8440732700;  -2978.7691886900;  -2984.8440732700
217;3037;  -2984.7791103600;  -2979.5681530700;  -2984.7791103600
218;3043;  -2984.8440732700;  -2978.7691886900;  -2984.8440732700
219;3051;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
220;3055;  -2984.9481044000;  -2980.5383101300;  -2984.9481044000
221;3056;  -2985.0554048800;  -2980.8031807900;  -2985.0554048800
222;3063;  -2984.9481044000;  -2980.5383101300;  -2984.9481044000
223;3068;  -2984.8977814300;  -2980.3528071900;  -2984.8977814300
224;3098;  -2984.8869782900;  -2980.6139342000;  -2984.8869782900
225;3120;  -2984.9022979800;  -2981.2392182701;  -2984.9022979800
226;3131;  -2984.9365334700;  -2981.3189249101;  -2984.9365334700
227;3137;  -2984.9444517800;  -2980.8040610400;  -2984.9444517800
228;3144;  -2984.7455676800;  -2980.6429149200;  -2984.7455676800
