 Configuration with minimum energy:           33
 Configuration with maximum energy:           50

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        46         4  0.911417E-01      0.0000      0.0000
        47         4  0.237545E+00      0.0000      0.0000
        48         4  0.395788E-01      0.0000      0.0000
        49         2  0.354621E+00      0.0000      0.0000
        50         2  0.663069E+00      0.0000      0.0000
        51         2  0.214267E+00      0.0000      0.0000
        52         2  0.355750E+00      0.0000      0.0000
        53         4  0.325733E+00      0.0000      0.0000
        54         4  0.149541E+00      0.0000      0.0000
        55         4  0.722776E-01      0.0000      0.0000
        56         4  0.163884E+00      0.0000      0.0000
        57         4  0.403541E+00      0.0000      0.0000
        58         4  0.127708E+00      0.0000      0.0000
        59         2  0.184992E+00      0.0000      0.0000
        60         2  0.187026E+00      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.241706E+00      0.0000      0.0000
         2         4  0.270455E+00      0.0000      0.0000
         3         4  0.195977E+00      0.0002      0.0000
         4         4  0.113251E+00      0.0043      0.0011
         5         4  0.217072E+00      0.0001      0.0000
         6         4  0.341412E-01      0.0908      0.0227
         7         4  0.151889E+00      0.0010      0.0002
         8         4  0.154012E-01      0.1875      0.0469
         9         4  0.119521E+00      0.0033      0.0008
        10         4  0.299576E+00      0.0000      0.0000
        11         4  0.398469E+00      0.0000      0.0000
        12         2  0.381530E+00      0.0000      0.0000
        13         2  0.204145E+00      0.0001      0.0000
        14         2  0.576878E+00      0.0000      0.0000
        15         2  0.232788E+00      0.0000      0.0000
        16         4  0.271166E+00      0.0000      0.0000
        17         4  0.893247E-01      0.0107      0.0027
        18         4  0.359908E+00      0.0000      0.0000
        19         4  0.151501E+00      0.0010      0.0002
        20         4  0.253433E+00      0.0000      0.0000
        21         4  0.251959E+00      0.0000      0.0000
        22         4  0.100395E+00      0.0070      0.0018
        23         4  0.513472E+00      0.0000      0.0000
        24         4  0.249353E+00      0.0000      0.0000
        25         4  0.395566E+00      0.0000      0.0000
        26         4  0.167234E+00      0.0005      0.0001
        27         4  0.356177E+00      0.0000      0.0000
