 Configuration with minimum energy:           38
 Configuration with maximum energy:          235

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
       249         8  0.272135E+00      0.0000      0.0000
       250         8  0.174154E+00      0.0000      0.0000
       251         8  0.201275E+00      0.0000      0.0000
       252         8  0.195317E+00      0.0000      0.0000
       253         8  0.404828E+00      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.148417E+00      0.0004      0.0001
         2         8  0.481465E-01      0.0204      0.0025
         3         8  0.472006E-01      0.0211      0.0026
         4         8  0.162342E+00      0.0002      0.0000
         5         8  0.128722E+00      0.0009      0.0001
         6         8  0.556454E-02      0.1058      0.0132
         7         8  0.579530E-01      0.0140      0.0017
         8         8  0.253056E+00      0.0000      0.0000
         9         8  0.112235E+00      0.0017      0.0002
        10         8  0.232223E+00      0.0000      0.0000
        11         8  0.264140E+00      0.0000      0.0000
        12         8  0.917766E-01      0.0038      0.0005
        13         8  0.875877E-01      0.0044      0.0006
        14         8  0.166819E+00      0.0002      0.0000
        15         8  0.130035E+00      0.0009      0.0001
        16         8  0.107218E+00      0.0021      0.0003
        17         8  0.702847E-01      0.0087      0.0011
        18         8  0.119212E+00      0.0013      0.0002
        19         8  0.123159E+00      0.0011      0.0001
        20         8  0.893717E-01      0.0041      0.0005
        21         8  0.103239E+00      0.0024      0.0003
        22         8  0.938593E-01      0.0035      0.0004
        23         8  0.208721E+00      0.0000      0.0000
        24         8  0.146172E+00      0.0005      0.0001
        25         8  0.101888E+00      0.0025      0.0003
        26         8  0.813319E-01      0.0056      0.0007
        27         8  0.957418E-01      0.0032      0.0004
        28         8  0.233649E+00      0.0000      0.0000
        29         8  0.180861E+00      0.0001      0.0000
        30         8  0.124450E+00      0.0011      0.0001
        31         8  0.848924E-01      0.0049      0.0006
        32         8  0.560227E-01      0.0150      0.0019
        33         8  0.161967E+00      0.0002      0.0000
        34         8  0.352186E-01      0.0336      0.0042
        35         8  0.915132E-01      0.0038      0.0005
        36         8  0.262662E+00      0.0000      0.0000
        37         8  0.898053E-01      0.0041      0.0005
        38         8  0.000000E+00      0.1313      0.0164
        39         8  0.111096E+00      0.0018      0.0002
        40         8  0.115457E+00      0.0015      0.0002
        41         8  0.839309E-01      0.0051      0.0006
        42         8  0.730506E-01      0.0078      0.0010
        43         8  0.328646E-01      0.0368      0.0046
        44         8  0.277706E+00      0.0000      0.0000
        45         8  0.293817E+00      0.0000      0.0000
        46         8  0.225485E+00      0.0000      0.0000
        47         8  0.133049E+00      0.0008      0.0001
        48         8  0.166981E+00      0.0002      0.0000
        49         8  0.132991E+00      0.0008      0.0001
        50         8  0.159243E+00      0.0003      0.0000
        51         8  0.784003E-01      0.0063      0.0008
        52         8  0.739454E-01      0.0075      0.0009
        53         8  0.101015E+00      0.0026      0.0003
        54         8  0.124886E+00      0.0010      0.0001
        55         8  0.810349E-01      0.0057      0.0007
